name,date,open,high,low,close,volume
Sanders,2019-03-21,0.22,0.22,0.2,0.21000000000000002,16589
Booker,2019-03-21,0.06,0.06,0.05,0.05,10299
Harris,2019-03-21,0.15000000000000002,0.16,0.14,0.15000000000000002,21048
Gillibrand,2019-03-21,0.02,0.03,0.02,0.03,8409
Biden,2019-03-21,0.24000000000000002,0.25,0.23,0.23,16174
Warren,2019-03-21,0.07,0.08,0.06,0.06,9155
Cuomo,2019-03-21,0.01,0.01,0.01,0.01,100
Zuckerberg,2019-03-21,0.01,0.01,0.01,0.01,0
Kaine,2019-03-21,0.01,0.01,0.01,0.01,100
Klobuchar,2019-03-21,0.05,0.06,0.05,0.05,9105
Johnson,2019-03-21,0.01,0.01,0.01,0.01,0
Brown,2019-03-21,0.01,0.01,0.01,0.01,1
Murphy,2019-03-21,0.01,0.01,0.01,0.01,0
Delaney,2019-03-21,0.01,0.02,0.01,0.02,8476
Winfrey,2019-03-21,0.01,0.01,0.01,0.01,858
O'Rourke,2019-03-21,0.15000000000000002,0.16,0.14,0.15000000000000002,25827
Clinton,2019-03-21,0.02,0.02,0.01,0.01,8761
S. Brown,2019-03-21,0.01,0.01,0.01,0.01,1601
Bloomberg,2019-03-21,0.01,0.01,0.01,0.01,800
Yang,2019-03-21,0.14,0.15000000000000002,0.13,0.13,32279
Buttigieg,2019-03-21,0.09,0.12000000000000001,0.08,0.1,79448
Sanders,2019-03-22,0.21000000000000002,0.22,0.2,0.21000000000000002,10424
Booker,2019-03-22,0.05,0.06,0.05,0.06,5749
Harris,2019-03-22,0.15000000000000002,0.16,0.14,0.15000000000000002,11781
Gillibrand,2019-03-22,0.03,0.03,0.02,0.03,4152
Biden,2019-03-22,0.23,0.25,0.22,0.23,12992
Warren,2019-03-22,0.06,0.08,0.06,0.08,10993
Cuomo,2019-03-22,0.01,0.01,0.01,0.01,229
Zuckerberg,2019-03-22,0.01,0.01,0.01,0.01,1043
Kaine,2019-03-22,0.01,0.01,0.01,0.01,51
Klobuchar,2019-03-22,0.05,0.06,0.05,0.06,5292
Johnson,2019-03-22,0.01,0.01,0.01,0.01,43
Brown,2019-03-22,0.01,0.01,0.01,0.01,43
Murphy,2019-03-22,0.01,0.01,0.01,0.01,43
Delaney,2019-03-22,0.02,0.02,0.01,0.02,5965
Winfrey,2019-03-22,0.01,0.01,0.01,0.01,32567
O'Rourke,2019-03-22,0.15000000000000002,0.16,0.15000000000000002,0.15000000000000002,7915
Clinton,2019-03-22,0.01,0.03,0.01,0.02,7163
S. Brown,2019-03-22,0.01,0.01,0.01,0.01,10066
Bloomberg,2019-03-22,0.01,0.01,0.01,0.01,0
Yang,2019-03-22,0.13,0.14,0.12000000000000001,0.13,34326
Buttigieg,2019-03-22,0.1,0.12000000000000001,0.1,0.11,47347
Sanders,2019-03-23,0.21000000000000002,0.22,0.2,0.21000000000000002,5167
Booker,2019-03-23,0.06,0.06,0.05,0.05,6247
Harris,2019-03-23,0.15000000000000002,0.16,0.14,0.16,12600
Gillibrand,2019-03-23,0.03,0.03,0.02,0.02,2060
Biden,2019-03-23,0.23,0.23,0.21000000000000002,0.22,8921
Warren,2019-03-23,0.08,0.08,0.06,0.06,9753
Cuomo,2019-03-23,0.01,0.01,0.01,0.01,0
Zuckerberg,2019-03-23,0.01,0.01,0.01,0.01,0
Kaine,2019-03-23,0.01,0.01,0.01,0.01,0
Klobuchar,2019-03-23,0.06,0.06,0.04,0.04,12259
Johnson,2019-03-23,0.01,0.01,0.01,0.01,3
Brown,2019-03-23,0.01,0.01,0.01,0.01,0
Murphy,2019-03-23,0.01,0.01,0.01,0.01,0
Delaney,2019-03-23,0.02,0.02,0.01,0.01,46312
Winfrey,2019-03-23,0.01,0.01,0.01,0.01,101
O'Rourke,2019-03-23,0.15000000000000002,0.16,0.15000000000000002,0.15000000000000002,6970
Clinton,2019-03-23,0.02,0.02,0.01,0.01,10339
S. Brown,2019-03-23,0.01,0.01,0.01,0.01,76
Bloomberg,2019-03-23,0.01,0.01,0.01,0.01,1
Yang,2019-03-23,0.13,0.13,0.12000000000000001,0.12000000000000001,23911
Buttigieg,2019-03-23,0.11,0.12000000000000001,0.1,0.11,35688
Sanders,2019-03-24,0.21000000000000002,0.22,0.2,0.21000000000000002,9265
Booker,2019-03-24,0.05,0.06,0.05,0.06,21597
Harris,2019-03-24,0.16,0.16,0.15000000000000002,0.16,7367
Gillibrand,2019-03-24,0.02,0.03,0.02,0.02,3489
Biden,2019-03-24,0.22,0.24000000000000002,0.21000000000000002,0.24000000000000002,12612
Warren,2019-03-24,0.06,0.08,0.06,0.07,9722
Cuomo,2019-03-24,0.01,0.01,0.01,0.01,51
Zuckerberg,2019-03-24,0.01,0.01,0.01,0.01,0
Kaine,2019-03-24,0.01,0.01,0.01,0.01,0
Klobuchar,2019-03-24,0.04,0.05,0.04,0.05,37253
