state,past,price,votes
CO,0.5268333337268244,0.86,9
VA,0.528263762771547,0.85,13
MN,0.5083185693361535,0.78,10
NV,0.512937094199852,0.77,6
NH,0.501970284423807,0.75,4
MI,0.4988233178303845,0.7,16
PA,0.4962446419250984,0.67,20
WI,0.49592010961970284,0.65,10
AZ,0.4810997659896054,0.5,11
NC,0.48096254196281285,0.45,15
FL,0.4938116452722452,0.43,29
IA,0.4493645215487965,0.39,6
OH,0.45732315422864095,0.34,18
GA,0.47338827400696787,0.26,16
TX,0.45286774422028014,0.23,38
DC,0.9569518834185409,NA,3
HI,0.6744133745053545,NA,4
CA,0.6612822054272989,NA,55
VT,0.6518642632382037,NA,3
MA,0.646512786896295,NA,11
MD,0.6401624968476939,NA,10
NY,0.6177244118423061,NA,29
IL,0.5902005139071148,NA,20
WA,0.5878693120006476,NA,12
RI,0.5831070409265982,NA,4
ME1,0.5795161755974267,NA,1
NJ,0.5728419014290129,NA,14
CT,0.5714154751726364,NA,7
OR,0.5615583894505436,NA,7
DE,0.5599862144368122,NA,3
NM,0.5465079493432411,NA,5
ME0,0.5159679112916253,NA,2
NE2,0.48783666053597624,NA,1
ME2,0.4442321024313331,NA,1
SC,0.4253974363947598,NA,9
AK,0.4161434528893193,NA,3
MS,0.4091015267593994,NA,6
MO,0.40181439004433933,NA,10
IN,0.3988269047549193,NA,11
LA,0.3982832276219221,NA,8
MT,0.38890335682975563,NA,3
KS,0.38888529657393334,NA,6
NE1,0.3869573954983923,NA,1
UT,0.3761634179150921,NA,6
NE0,0.3645232588682243,NA,2
TN,0.3637565695473801,NA,11
AR,0.35714862310229534,NA,6
AL,0.3562585640603926,NA,9
KY,0.34329370982490137,NA,8
SD,0.3402814192056875,NA,3
ID,0.31689823319194416,NA,4
OK,0.30695262761671865,NA,7
ND,0.30190757103480254,NA,3
WV,0.27838947748704224,NA,5
WY,0.2429468037084621,NA,3
NE3,0.21067654488885024,NA,1
