date,position,city,state,endorser,endorsee,endorser_party,source,order,category,body,district,points
2017-07-28,representative,NA,MD,David Trone,delaney,D,https://twitter.com/davidjtrone/status/890985957981401088,NA,Representatives,NA,6,3
2019-01-02,governor,NA,NY,Andrew Cuomo,biden,D,https://www.cnn.com/2019/01/02/politics/cuomo-biden-best-case-2020/index.html,NA,Governors,NA,NA,8
2019-01-03,senator,NA,CA,Dianne Feinstein,biden,D,https://www.politico.com/story/2019/01/03/dianne-feinstein-2020-pick-joe-biden-1079024,NA,Senators,NA,NA,6
2019-01-08,senator,NA,DE,Thomas R. Carper,biden,D,https://fox61.com/2019/01/08/will-he-or-wont-he-joe-biden-looms-over-the-2020-field/,NA,Senators,NA,NA,6
2019-01-12,mayor,San Antonio,TX,Ron Nirenberg,castro,NA,https://www.sacurrent.com/the-daily/archives/2019/01/12/former-san-antonio-mayor-julian-castro-launches-2020-presidential-bid-at-west-side-rally,6,Mayors,NA,NA,3
2019-01-21,DNC member,NA,CA,Laphonza Butler,harris,D,https://www.politico.com/states/california/story/2019/01/21/kamala-harris-launches-campaign-for-president-804259,NA,DNC members,NA,NA,1
2019-01-25,DNC member,NA,DC,James J. Zogby,sanders,D,https://twitter.com/jjz1600/status/1088974458885455872,NA,DNC members,NA,NA,1
2019-01-27,state treasurer,NA,CA,Fiona Ma,harris,D,https://twitter.com/fionama/status/1089623289872343040,22,Statewide officeholders,NA,NA,2
2019-01-27,lieutenant governor,NA,CA,Eleni Kounalakis,harris,D,https://twitter.com/EleniForCA/status/1089628133228109824,19,Statewide officeholders,NA,NA,2
2019-01-27,mayor,Oakland,CA,Libby Schaaf,harris,D,https://www.mercurynews.com/2019/01/27/kamala-harris-president-oakland-rally-campaign-kickoff/,43,Mayors,NA,NA,3
2019-01-27,mayor,San Francisco,CA,London Breed,harris,D,https://www.politico.com/newsletters/california-playbook/2019/01/28/kamala-launches-on-her-home-turf-trump-renews-california-lie-newsom-intensifies-housing-battle-shutdown-victory-boosts-pelosi-data-privacy-20-fight-powers-up-382254,12,Mayors,NA,NA,3
2019-01-28,representative,NA,CA,Ted Lieu,harris,D,https://thehill.com/homenews/house/427255-ted-lieu-endorses-kamala-harris-for-president-she-embraces-the-future,NA,Representatives,NA,33,3
2019-01-29,representative,NA,CA,Nanette Diaz Barragán,harris,D,https://twitter.com/Nanette4CA/status/1090386597604978689,NA,Representatives,NA,44,3
2019-02-01,senator,NA,NJ,Robert Menendez,booker,D,https://twitter.com/BobMenendezNJ/status/1091391811040567297,NA,Senators,NA,NA,6
2019-02-01,governor,NA,NJ,Phil Murphy,booker,D,https://newjerseyglobe.com/fr/murphy-endorses-booker-presidential-bid/,NA,Governors,NA,NA,8
