state,name,date,open,high,low,close,volume
WI,Republican,2019-07-11,0.38,0.38,0.35,0.35,76
WI,Democratic,2019-07-11,0.65,0.65,0.65,0.65,0
WI,Republican,2019-07-12,0.35,0.38,0.35,0.38,15
WI,Democratic,2019-07-12,0.65,0.65,0.64,0.65,102
WI,Republican,2019-07-13,0.38,0.38,0.38,0.38,0
WI,Democratic,2019-07-13,0.65,0.65,0.65,0.65,0
WI,Republican,2019-07-14,0.38,0.38,0.37,0.37,73
WI,Democratic,2019-07-14,0.65,0.65,0.63,0.63,56
WI,Republican,2019-07-15,0.37,0.37,0.36,0.36,273
WI,Democratic,2019-07-15,0.63,0.63,0.62,0.62,46
WI,Republican,2019-07-16,0.36,0.38,0.36,0.36,200
WI,Democratic,2019-07-16,0.62,0.65,0.62,0.65,230
WI,Republican,2019-07-17,0.36,0.37,0.36,0.37,77
WI,Democratic,2019-07-17,0.65,0.65,0.62,0.62,78
WI,Republican,2019-07-18,0.37,0.37,0.37,0.37,10
WI,Democratic,2019-07-18,0.62,0.62,0.62,0.62,0
WI,Republican,2019-07-19,0.37,0.39,0.37,0.39,517
WI,Democratic,2019-07-19,0.62,0.62,0.61,0.61,180
WI,Republican,2019-07-20,0.39,0.4,0.37,0.39,16
WI,Democratic,2019-07-20,0.61,0.62,0.61,0.62,1
WI,Republican,2019-07-21,0.39,0.39,0.38,0.38,10
WI,Democratic,2019-07-21,0.62,0.62,0.61,0.61,38
WI,Republican,2019-07-22,0.38,0.4,0.38,0.4,31
WI,Democratic,2019-07-22,0.61,0.61,0.6,0.6,3
WI,Republican,2019-07-23,0.4,0.4,0.37,0.37,235
WI,Democratic,2019-07-23,0.6,0.62,0.6,0.62,352
WI,Republican,2019-07-24,0.37,0.38,0.35,0.38,725
WI,Democratic,2019-07-24,0.62,0.62,0.61,0.61,5
WI,Republican,2019-07-25,0.38,0.38,0.38,0.38,0
WI,Democratic,2019-07-25,0.61,0.61,0.61,0.61,0
WI,Republican,2019-07-26,0.38,0.38,0.36,0.36,20
WI,Democratic,2019-07-26,0.61,0.61,0.61,0.61,0
WI,Republican,2019-07-27,0.36,0.37,0.36,0.37,12
WI,Democratic,2019-07-27,0.61,0.61,0.61,0.61,0
WI,Republican,2019-07-28,0.37,0.37,0.37,0.37,0
WI,Democratic,2019-07-28,0.61,0.62,0.61,0.62,1
WI,Republican,2019-07-29,0.37,0.4,0.37,0.38,216
WI,Democratic,2019-07-29,0.62,0.62,0.6,0.6,169
WI,Republican,2019-07-30,0.38,0.4,0.38,0.38,41
WI,Democratic,2019-07-30,0.6,0.63,0.6,0.63,26
WI,Republican,2019-07-31,0.38,0.39,0.38,0.38,45
WI,Democratic,2019-07-31,0.63,0.63,0.62,0.63,41
WI,Republican,2019-08-01,0.38,0.38,0.37,0.37,23
WI,Democratic,2019-08-01,0.63,0.63,0.62,0.63,22
WI,Republican,2019-08-02,0.37,0.38,0.37,0.37,52
WI,Democratic,2019-08-02,0.63,0.64,0.63,0.64,141
WI,Republican,2019-08-03,0.37,0.39,0.37,0.39,59
WI,Democratic,2019-08-03,0.64,0.64,0.63,0.63,12
WI,Republican,2019-08-04,0.39,0.39,0.38,0.38,9
WI,Democratic,2019-08-04,0.63,0.64,0.63,0.64,25
WI,Republican,2019-08-05,0.38,0.38,0.37,0.37,40
WI,Democratic,2019-08-05,0.64,0.64,0.64,0.64,100
WI,Republican,2019-08-06,0.37,0.37,0.37,0.37,0
WI,Democratic,2019-08-06,0.64,0.64,0.63,0.63,7
WI,Republican,2019-08-07,0.37,0.38,0.37,0.38,8
WI,Democratic,2019-08-07,0.63,0.64,0.63,0.64,3
WI,Republican,2019-08-08,0.38,0.38,0.38,0.38,42
WI,Democratic,2019-08-08,0.64,0.64,0.64,0.64,0
WI,Republican,2019-08-09,0.38,0.38,0.38,0.38,26
WI,Democratic,2019-08-09,0.64,0.64,0.63,0.63,10
WI,Republican,2019-08-10,0.38,0.38,0.38,0.38,0
WI,Democratic,2019-08-10,0.63,0.63,0.63,0.63,0
WI,Republican,2019-08-11,0.38,0.38,0.35,0.38,1245
WI,Democratic,2019-08-11,0.63,0.64,0.63,0.64,248
WI,Republican,2019-08-12,0.38,0.38,0.38,0.38,0
WI,Democratic,2019-08-12,0.64,0.64,0.64,0.64,70
WI,Republican,2019-08-13,0.38,0.38,0.38,0.38,0
WI,Democratic,2019-08-13,0.64,0.64,0.64,0.64,20
WI,Republican,2019-08-14,0.38,0.38,0.36,0.36,10
WI,Democratic,2019-08-14,0.64,0.64,0.63,0.63,10
WI,Republican,2019-08-15,0.36,0.37,0.36,0.37,1
WI,Democratic,2019-08-15,0.63,0.63,0.63,0.63,0
WI,Republican,2019-08-16,0.37,0.37,0.37,0.37,14
WI,Democratic,2019-08-16,0.63,0.63,0.63,0.63,10
WI,Republican,2019-08-17,0.37,0.37,0.37,0.37,21
WI,Democratic,2019-08-17,0.63,0.65,0.63,0.65,5
WI,Republican,2019-08-18,0.37,0.37,0.37,0.37,0
WI,Democratic,2019-08-18,0.65,0.65,0.65,0.65,0
WI,Republican,2019-08-19,0.37,0.37,0.37,0.37,93
WI,Democratic,2019-08-19,0.65,0.65,0.64,0.64,1
WI,Republican,2019-08-20,0.37,0.39,0.37,0.39,575
WI,Democratic,2019-08-20,0.64,0.64,0.64,0.64,0
WI,Republican,2019-08-21,0.39,0.4,0.38,0.38,5
WI,Democratic,2019-08-21,0.64,0.64,0.63,0.63,141
WI,Republican,2019-08-22,0.38,0.41000000000000003,0.38,0.41000000000000003,213
WI,Democratic,2019-08-22,0.63,0.63,0.62,0.63,5
WI,Republican,2019-08-23,0.41000000000000003,0.41000000000000003,0.38,0.41000000000000003,177
WI,Democratic,2019-08-23,0.63,0.63,0.63,0.63,1
WI,Republican,2019-08-24,0.41000000000000003,0.42000000000000004,0.39,0.42000000000000004,128
WI,Democratic,2019-08-24,0.63,0.63,0.63,0.63,6
WI,Republican,2019-08-25,0.42000000000000004,0.43000000000000005,0.42000000000000004,0.43000000000000005,41
WI,Democratic,2019-08-25,0.63,0.63,0.63,0.63,1
WI,Republican,2019-08-26,0.43000000000000005,0.44,0.41000000000000003,0.41000000000000003,659
WI,Democratic,2019-08-26,0.63,0.63,0.6,0.6,515
WI,Republican,2019-08-27,0.41000000000000003,0.42000000000000004,0.41000000000000003,0.41000000000000003,31
WI,Democratic,2019-08-27,0.6,0.61,0.6,0.6,77
WI,Republican,2019-08-28,0.41000000000000003,0.42000000000000004,0.41000000000000003,0.42000000000000004,2
WI,Democratic,2019-08-28,0.6,0.61,0.6,0.61,13
WI,Republican,2019-08-29,0.42000000000000004,0.42000000000000004,0.4,0.4,125
WI,Democratic,2019-08-29,0.61,0.62,0.61,0.62,12
WI,Republican,2019-08-30,0.4,0.41000000000000003,0.4,0.41000000000000003,15
WI,Democratic,2019-08-30,0.62,0.62,0.61,0.61,7
WI,Republican,2019-08-31,0.41000000000000003,0.41000000000000003,0.4,0.4,1
WI,Democratic,2019-08-31,0.61,0.61,0.61,0.61,0
WI,Republican,2019-09-01,0.4,0.41000000000000003,0.4,0.4,66
WI,Democratic,2019-09-01,0.61,0.62,0.61,0.62,64
WI,Republican,2019-09-02,0.4,0.4,0.39,0.39,1
WI,Democratic,2019-09-02,0.62,0.62,0.62,0.62,0
WI,Republican,2019-09-03,0.39,0.41000000000000003,0.39,0.41000000000000003,48
WI,Democratic,2019-09-03,0.62,0.62,0.59,0.59,212
WI,Republican,2019-09-04,0.41000000000000003,0.41000000000000003,0.37,0.37,508
WI,Democratic,2019-09-04,0.59,0.63,0.59,0.63,555
WI,Republican,2019-09-05,0.37,0.38,0.37,0.38,3
WI,Democratic,2019-09-05,0.63,0.64,0.63,0.64,3
WI,Republican,2019-09-06,0.38,0.4,0.38,0.4,7
WI,Democratic,2019-09-06,0.64,0.64,0.64,0.64,1
WI,Republican,2019-09-07,0.4,0.4,0.4,0.4,0
WI,Democratic,2019-09-07,0.64,0.64,0.64,0.64,0
WI,Republican,2019-09-08,0.4,0.4,0.37,0.37,50
WI,Democratic,2019-09-08,0.64,0.64,0.64,0.64,0
WI,Republican,2019-09-09,0.37,0.37,0.37,0.37,0
WI,Democratic,2019-09-09,0.64,0.64,0.61,0.61,116
WI,Republican,2019-09-10,0.37,0.4,0.37,0.4,3
WI,Democratic,2019-09-10,0.61,0.63,0.6,0.6,237
WI,Republican,2019-09-11,0.4,0.4,0.39,0.39,27
WI,Democratic,2019-09-11,0.6,0.6,0.58,0.58,215
WI,Republican,2019-09-12,0.39,0.39,0.39,0.39,23
WI,Democratic,2019-09-12,0.58,0.61,0.58,0.61,1
WI,Republican,2019-09-13,0.39,0.4,0.39,0.4,44
WI,Democratic,2019-09-13,0.61,0.62,0.61,0.62,229
WI,Republican,2019-09-14,0.4,0.4,0.4,0.4,0
WI,Democratic,2019-09-14,0.62,0.62,0.62,0.62,0
WI,Republican,2019-09-15,0.4,0.4,0.38,0.38,18
WI,Democratic,2019-09-15,0.62,0.62,0.62,0.62,1
WI,Republican,2019-09-16,0.38,0.4,0.38,0.39,11
WI,Democratic,2019-09-16,0.62,0.63,0.62,0.62,12
WI,Republican,2019-09-17,0.39,0.41000000000000003,0.38,0.41000000000000003,102
WI,Democratic,2019-09-17,0.62,0.62,0.62,0.62,0
WI,Republican,2019-09-18,0.41000000000000003,0.5,0.39,0.41000000000000003,1481
WI,Democratic,2019-09-18,0.62,0.62,0.62,0.62,0
WI,Republican,2019-09-19,0.41000000000000003,0.42000000000000004,0.38,0.42000000000000004,128
WI,Democratic,2019-09-19,0.62,0.62,0.62,0.62,0
WI,Republican,2019-09-20,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,25
WI,Democratic,2019-09-20,0.62,0.63,0.61,0.61,51
WI,Republican,2019-09-21,0.42000000000000004,0.42000000000000004,0.38,0.38,1328
WI,Democratic,2019-09-21,0.61,0.65,0.61,0.64,1356
WI,Republican,2019-09-22,0.38,0.38,0.37,0.37,144
WI,Democratic,2019-09-22,0.64,0.65,0.64,0.65,816
WI,Republican,2019-09-23,0.37,0.37,0.36,0.36,338
WI,Democratic,2019-09-23,0.65,0.65,0.65,0.65,0
WI,Republican,2019-09-24,0.36,0.4,0.35,0.4,442
WI,Democratic,2019-09-24,0.65,0.69,0.65,0.6799999999999999,759
WI,Republican,2019-09-25,0.4,0.4,0.36,0.36,10
WI,Democratic,2019-09-25,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.6799999999999999,15
WI,Republican,2019-09-26,0.36,0.36,0.36,0.36,10
WI,Democratic,2019-09-26,0.6799999999999999,0.7,0.6799999999999999,0.7,365
WI,Republican,2019-09-27,0.36,0.4,0.36,0.39,52
WI,Democratic,2019-09-27,0.7,0.7,0.6699999999999999,0.6699999999999999,26
WI,Republican,2019-09-28,0.39,0.4,0.35,0.35,127
WI,Democratic,2019-09-28,0.6699999999999999,0.69,0.6699999999999999,0.69,252
WI,Republican,2019-09-29,0.35,0.35,0.35,0.35,336
WI,Democratic,2019-09-29,0.69,0.7,0.69,0.69,209
WI,Republican,2019-09-30,0.35,0.35,0.32999999999999996,0.33999999999999997,216
WI,Democratic,2019-09-30,0.69,0.69,0.69,0.69,0
WI,Republican,2019-10-01,0.33999999999999997,0.33999999999999997,0.31,0.31,293
WI,Democratic,2019-10-01,0.69,0.7,0.69,0.7,62
WI,Republican,2019-10-02,0.31,0.32999999999999996,0.31,0.32999999999999996,237
WI,Democratic,2019-10-02,0.7,0.7,0.69,0.7,63
WI,Republican,2019-10-03,0.32999999999999996,0.39,0.32999999999999996,0.32999999999999996,2
WI,Democratic,2019-10-03,0.7,0.7,0.6799999999999999,0.7,5
WI,Republican,2019-10-04,0.32999999999999996,0.35,0.32999999999999996,0.33999999999999997,2
WI,Democratic,2019-10-04,0.7,0.7,0.7,0.7,0
WI,Republican,2019-10-05,0.33999999999999997,0.33999999999999997,0.32999999999999996,0.32999999999999996,1
WI,Democratic,2019-10-05,0.7,0.7,0.6799999999999999,0.7,11
WI,Republican,2019-10-06,0.32999999999999996,0.36,0.32999999999999996,0.32999999999999996,2
WI,Democratic,2019-10-06,0.7,0.7,0.7,0.7,0
WI,Republican,2019-10-07,0.32999999999999996,0.36,0.32999999999999996,0.33999999999999997,3
WI,Democratic,2019-10-07,0.7,0.7,0.7,0.7,0
WI,Republican,2019-10-08,0.33999999999999997,0.33999999999999997,0.26,0.26,1057
WI,Democratic,2019-10-08,0.7,0.75,0.6799999999999999,0.75,1079
PA,Republican,2019-07-11,0.36,0.36,0.33999999999999997,0.33999999999999997,20
PA,Democratic,2019-07-11,0.65,0.6699999999999999,0.65,0.6699999999999999,1
