name,date,open,high,low,close,volume
sanders,2019-12-08,0.19,0.2,0.18,0.2,11760
booker,2019-12-08,0.01,0.02,0.01,0.02,4697
harris,2019-12-08,0.01,0.01,0.01,0.01,130
gillibrand,2019-12-08,0.01,0.01,0.01,0.01,0
biden,2019-12-08,0.27,0.29000000000000004,0.27,0.28,14791
warren,2019-12-08,0.16,0.18,0.15000000000000002,0.17,9174
cuomo,2019-12-08,0.01,0.01,0.01,0.01,0
zuckerberg,2019-12-08,0.01,0.01,0.01,0.01,1
kaine,2019-12-08,0.01,0.01,0.01,0.01,0
klobuchar,2019-12-08,0.03,0.04,0.03,0.04,3863
johnson,2019-12-08,0.01,0.01,0.01,0.01,0
brown,2019-12-08,0.01,0.01,0.01,0.01,0
murphy,2019-12-08,0.01,0.01,0.01,0.01,0
delaney,2019-12-08,0.01,0.01,0.01,0.01,0
winfrey,2019-12-08,0.01,0.01,0.01,0.01,5633
o_rourke,2019-12-08,0.01,0.01,0.01,0.01,50
clinton,2019-12-08,0.08,0.08,0.07,0.08,12281
s_brown,2019-12-08,0.01,0.01,0.01,0.01,0
bloomberg,2019-12-08,0.1,0.11,0.09,0.11,13479
yang,2019-12-08,0.07,0.08,0.07,0.07,6172
buttigieg,2019-12-08,0.19,0.19,0.17,0.18,8985
castro,2019-12-08,0.01,0.01,0.01,0.01,61
gabbard,2019-12-08,0.02,0.03,0.02,0.03,6961
hickenlooper,2019-12-08,0.01,0.01,0.01,0.01,0
inslee,2019-12-08,0.01,0.01,0.01,0.01,0
bullock,2019-12-08,0.01,0.01,0.01,0.01,0
bennet,2019-12-08,0.01,0.01,0.01,0.01,3
williamson,2019-12-08,0.01,0.01,0.01,0.01,0
ryan,2019-12-08,0.01,0.01,0.01,0.01,0
de_blasio,2019-12-08,0.01,0.01,0.01,0.01,0
swalwell,2019-12-08,0.01,0.01,0.01,0.01,0
steyer,2019-12-08,0.01,0.01,0.01,0.01,4388
patrick,2019-12-08,0.01,0.01,0.01,0.01,25948
sanders,2019-12-09,0.2,0.2,0.18,0.19,5242
booker,2019-12-09,0.02,0.02,0.01,0.01,2569
harris,2019-12-09,0.01,0.01,0.01,0.01,0
gillibrand,2019-12-09,0.01,0.01,0.01,0.01,0
biden,2019-12-09,0.28,0.29000000000000004,0.27,0.27,14869
warren,2019-12-09,0.17,0.18,0.16,0.16,9860
cuomo,2019-12-09,0.01,0.01,0.01,0.01,250
zuckerberg,2019-12-09,0.01,0.01,0.01,0.01,0
kaine,2019-12-09,0.01,0.01,0.01,0.01,500
klobuchar,2019-12-09,0.04,0.04,0.03,0.04,1424
johnson,2019-12-09,0.01,0.01,0.01,0.01,0
brown,2019-12-09,0.01,0.01,0.01,0.01,0
murphy,2019-12-09,0.01,0.01,0.01,0.01,0
delaney,2019-12-09,0.01,0.01,0.01,0.01,0
winfrey,2019-12-09,0.01,0.01,0.01,0.01,8233
o_rourke,2019-12-09,0.01,0.01,0.01,0.01,0
clinton,2019-12-09,0.08,0.08,0.07,0.08,24005
s_brown,2019-12-09,0.01,0.01,0.01,0.01,0
bloomberg,2019-12-09,0.11,0.11,0.09,0.09,31028
yang,2019-12-09,0.07,0.08,0.07,0.08,7467
buttigieg,2019-12-09,0.18,0.18,0.17,0.17,15067
castro,2019-12-09,0.01,0.01,0.01,0.01,10
gabbard,2019-12-09,0.03,0.03,0.02,0.02,5282
hickenlooper,2019-12-09,0.01,0.01,0.01,0.01,0
inslee,2019-12-09,0.01,0.01,0.01,0.01,0
bullock,2019-12-09,0.01,0.01,0.01,0.01,0
bennet,2019-12-09,0.01,0.01,0.01,0.01,90
williamson,2019-12-09,0.01,0.01,0.01,0.01,0
ryan,2019-12-09,0.01,0.01,0.01,0.01,0
de_blasio,2019-12-09,0.01,0.01,0.01,0.01,0
swalwell,2019-12-09,0.01,0.01,0.01,0.01,0
steyer,2019-12-09,0.01,0.02,0.01,0.01,4102
patrick,2019-12-09,0.01,0.02,0.01,0.01,29004
sanders,2019-12-10,0.19,0.21000000000000002,0.18,0.19,39581
booker,2019-12-10,0.01,0.02,0.01,0.01,11079
