poll,start,end,name,points
RCP Average,2019-06-06,2019-06-18,biden,31.9
Economist/YouGovEconomist,2019-06-16,2019-06-18,biden,26
MonmouthMonmouth,2019-06-12,2019-06-17,biden,32
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,biden,35
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,biden,38
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,biden,30
FOX NewsFOX News,2019-06-09,2019-06-12,biden,32
Economist/YouGovEconomist,2019-06-09,2019-06-11,biden,27
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,biden,30
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,biden,37
Economist/YouGovEconomist,2019-06-02,2019-06-04,biden,27
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,biden,35
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,biden,38
CNNCNN,2019-05-28,2019-05-31,biden,32
Harvard-HarrisHarris,2019-05-29,2019-05-30,biden,36
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,biden,38
MonmouthMonmouth,2019-05-16,2019-05-20,biden,33
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,biden,33
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,biden,35
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,biden,39
FOX NewsFOX News,2019-05-11,2019-05-14,biden,35
EmersonEmerson,2019-05-10,2019-05-13,biden,33
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,biden,39
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,biden,46
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,biden,40
Harvard-HarrisHarris,2019-04-30,2019-05-01,biden,44
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,biden,38
CNNCNN,2019-04-25,2019-04-28,biden,39
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,biden,36
MonmouthMonmouth,2019-04-11,2019-04-15,biden,27
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,biden,30
EmersonEmerson,2019-04-11,2019-04-14,biden,24
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,biden,31
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,biden,32
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,biden,36
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,biden,33
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,biden,29
Harvard-HarrisHarris,2019-03-25,2019-03-26,biden,35
