name,poll,points,start,end,length
warren,ABC News/Wash PostABC/WP,18,2019-09-02,2019-09-05,3
biden,ABC News/Wash PostABC/WP,29,2019-09-02,2019-09-05,3
sanders,ABC News/Wash PostABC/WP,19,2019-09-02,2019-09-05,3
buttigieg,ABC News/Wash PostABC/WP,4,2019-09-02,2019-09-05,3
harris,ABC News/Wash PostABC/WP,7,2019-09-02,2019-09-05,3
yang,ABC News/Wash PostABC/WP,3,2019-09-02,2019-09-05,3
o_rourke,ABC News/Wash PostABC/WP,3,2019-09-02,2019-09-05,3
booker,ABC News/Wash PostABC/WP,1,2019-09-02,2019-09-05,3
klobuchar,ABC News/Wash PostABC/WP,2,2019-09-02,2019-09-05,3
castro,ABC News/Wash PostABC/WP,0,2019-09-02,2019-09-05,3
bennet,ABC News/Wash PostABC/WP,0,2019-09-02,2019-09-05,3
gabbard,ABC News/Wash PostABC/WP,2,2019-09-02,2019-09-05,3
steyer,ABC News/Wash PostABC/WP,1,2019-09-02,2019-09-05,3
warren,CNNCNN,14,2019-08-15,2019-08-18,3
biden,CNNCNN,29,2019-08-15,2019-08-18,3
sanders,CNNCNN,15,2019-08-15,2019-08-18,3
buttigieg,CNNCNN,5,2019-08-15,2019-08-18,3
harris,CNNCNN,5,2019-08-15,2019-08-18,3
yang,CNNCNN,1,2019-08-15,2019-08-18,3
o_rourke,CNNCNN,3,2019-08-15,2019-08-18,3
booker,CNNCNN,2,2019-08-15,2019-08-18,3
klobuchar,CNNCNN,1,2019-08-15,2019-08-18,3
castro,CNNCNN,2,2019-08-15,2019-08-18,3
bennet,CNNCNN,0,2019-08-15,2019-08-18,3
gabbard,CNNCNN,2,2019-08-15,2019-08-18,3
steyer,CNNCNN,1,2019-08-15,2019-08-18,3
warren,CNNCNN,18,2019-09-05,2019-09-09,4
biden,CNNCNN,24,2019-09-05,2019-09-09,4
sanders,CNNCNN,17,2019-09-05,2019-09-09,4
buttigieg,CNNCNN,6,2019-09-05,2019-09-09,4
harris,CNNCNN,8,2019-09-05,2019-09-09,4
yang,CNNCNN,2,2019-09-05,2019-09-09,4
o_rourke,CNNCNN,5,2019-09-05,2019-09-09,4
booker,CNNCNN,2,2019-09-05,2019-09-09,4
klobuchar,CNNCNN,1,2019-09-05,2019-09-09,4
castro,CNNCNN,1,2019-09-05,2019-09-09,4
bennet,CNNCNN,1,2019-09-05,2019-09-09,4
gabbard,CNNCNN,2,2019-09-05,2019-09-09,4
steyer,CNNCNN,1,2019-09-05,2019-09-09,4
warren,Economist/YouGovEconomist,18,2019-08-03,2019-08-06,3
biden,Economist/YouGovEconomist,25,2019-08-03,2019-08-06,3
sanders,Economist/YouGovEconomist,13,2019-08-03,2019-08-06,3
buttigieg,Economist/YouGovEconomist,7,2019-08-03,2019-08-06,3
harris,Economist/YouGovEconomist,8,2019-08-03,2019-08-06,3
yang,Economist/YouGovEconomist,2,2019-08-03,2019-08-06,3
o_rourke,Economist/YouGovEconomist,2,2019-08-03,2019-08-06,3
booker,Economist/YouGovEconomist,2,2019-08-03,2019-08-06,3
klobuchar,Economist/YouGovEconomist,1,2019-08-03,2019-08-06,3
castro,Economist/YouGovEconomist,1,2019-08-03,2019-08-06,3
bennet,Economist/YouGovEconomist,1,2019-08-03,2019-08-06,3
gabbard,Economist/YouGovEconomist,3,2019-08-03,2019-08-06,3
steyer,Economist/YouGovEconomist,1,2019-08-03,2019-08-06,3
warren,Economist/YouGovEconomist,20,2019-08-10,2019-08-13,3
biden,Economist/YouGovEconomist,23,2019-08-10,2019-08-13,3
sanders,Economist/YouGovEconomist,16,2019-08-10,2019-08-13,3
buttigieg,Economist/YouGovEconomist,6,2019-08-10,2019-08-13,3
harris,Economist/YouGovEconomist,8,2019-08-10,2019-08-13,3
yang,Economist/YouGovEconomist,2,2019-08-10,2019-08-13,3
o_rourke,Economist/YouGovEconomist,5,2019-08-10,2019-08-13,3
booker,Economist/YouGovEconomist,2,2019-08-10,2019-08-13,3
klobuchar,Economist/YouGovEconomist,1,2019-08-10,2019-08-13,3
castro,Economist/YouGovEconomist,1,2019-08-10,2019-08-13,3
bennet,Economist/YouGovEconomist,1,2019-08-10,2019-08-13,3
gabbard,Economist/YouGovEconomist,2,2019-08-10,2019-08-13,3
steyer,Economist/YouGovEconomist,1,2019-08-10,2019-08-13,3
warren,Economist/YouGovEconomist,18,2019-08-17,2019-08-20,3
biden,Economist/YouGovEconomist,22,2019-08-17,2019-08-20,3
sanders,Economist/YouGovEconomist,19,2019-08-17,2019-08-20,3
buttigieg,Economist/YouGovEconomist,8,2019-08-17,2019-08-20,3
harris,Economist/YouGovEconomist,8,2019-08-17,2019-08-20,3
yang,Economist/YouGovEconomist,1,2019-08-17,2019-08-20,3
o_rourke,Economist/YouGovEconomist,3,2019-08-17,2019-08-20,3
booker,Economist/YouGovEconomist,2,2019-08-17,2019-08-20,3
klobuchar,Economist/YouGovEconomist,0,2019-08-17,2019-08-20,3
castro,Economist/YouGovEconomist,1,2019-08-17,2019-08-20,3
bennet,Economist/YouGovEconomist,0,2019-08-17,2019-08-20,3
gabbard,Economist/YouGovEconomist,2,2019-08-17,2019-08-20,3
steyer,Economist/YouGovEconomist,0,2019-08-17,2019-08-20,3
warren,Economist/YouGovEconomist,21,2019-08-24,2019-08-27,3
biden,Economist/YouGovEconomist,25,2019-08-24,2019-08-27,3
sanders,Economist/YouGovEconomist,14,2019-08-24,2019-08-27,3
