date,hits,geo,time,keyword,gprop,category
2019-01-01T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-02T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-03T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-04T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-05T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-06T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-07T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-08T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-09T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-10T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-11T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-12T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-13T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-14T00:00:00Z,4,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-15T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-16T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-17T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-18T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-19T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-20T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-21T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-22T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-23T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-24T00:00:00Z,22,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-25T00:00:00Z,100,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-26T00:00:00Z,24,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-27T00:00:00Z,8,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-28T00:00:00Z,7,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-29T00:00:00Z,4,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-30T00:00:00Z,4,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-01-31T00:00:00Z,3,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-01T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-02T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-03T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-04T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-05T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-06T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-07T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-08T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-02-09T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
